title,tconst
One Flew Over the Cuckoo's Nest (1975),tt0073486
James and the Giant Peach (1996),tt0116683
My Fair Lady (1964),tt0058385
Erin Brockovich (2000),tt0195685
"Bug's Life, A (1998)",tt0120623
"Princess Bride, The (1987)",tt0093779
Ben-Hur (1959),tt0052618
"Christmas Story, A (1983)",tt0085334
Snow White and the Seven Dwarfs (1937),tt0029583
"Wizard of Oz, The (1939)",tt0032138
Beauty and the Beast (1991),tt0101414
Gigi (1958),tt0051658
Miracle on 34th Street (1947),tt0039628
Ferris Bueller's Day Off (1986),tt0091042
"Sound of Music, The (1965)",tt0059742
Airplane! (1980),tt0080339
Tarzan (1999),tt0120855
Bambi (1942),tt0034492
Awakenings (1990),tt0099077
Big (1988),tt0094737
Pleasantville (1998),tt0120789
Wallace & Gromit: The Best of Aardman Animation (1996),
Back to the Future (1985),tt0088763
Schindler's List (1993),tt0108052
Meet Joe Black (1998),tt0119643
Pocahontas (1995),tt0114148
E.T. the Extra-Terrestrial (1982),tt0083866
Titanic (1997),tt0120338
Ponette (1996),tt0117359
"Close Shave, A (1995)",tt0112691
Antz (1998),tt0120587
"Girl, Interrupted (1999)",tt0172493
Hercules (1997),tt0119282
Aladdin (1992),tt0103639
Mulan (1998),tt0120762
"Hunchback of Notre Dame, The (1996)",tt0116583
"Last Days of Disco, The (1998)",tt0120728
Cinderella (1950),tt0042332
"Sixth Sense, The (1999)",tt0167404
Apollo 13 (1995),tt0112384
Toy Story (1995),tt0114709
Rain Man (1988),tt0095953
Driving Miss Daisy (1989),tt0097239
Run Lola Run (Lola rennt) (1998),
Star Wars: Episode IV - A New Hope (1977),
Mary Poppins (1964),tt0058331
Dumbo (1941),tt0033563
To Kill a Mockingbird (1962),tt0056592
Saving Private Ryan (1998),tt0120815
"Secret Garden, The (1993)",tt0108071
Toy Story 2 (1999),tt0120363
Fargo (1996),tt0116282
Dead Poets Society (1989),tt0097165
Shine (1996),tt0117631
"Verdict, The (1982)",tt0084855
Shall We Dance? (Shall We Dansu?) (1996),
Courage Under Fire (1996),tt0115956
"Untouchables, The (1987)",tt0094226
Mission: Impossible (1996),tt0117060
"Few Good Men, A (1992)",tt0104257
Star Wars: Episode I - The Phantom Menace (1999),tt0120915
Rebel Without a Cause (1955),tt0048545
Total Recall (1990),tt0100802
"Hustler, The (1961)",tt0054997
Star Wars: Episode VI - Return of the Jedi (1983),tt0086190
U.S. Marshalls (1998),
"Jackal, The (1997)",tt0119395
GoodFellas (1990),
Gladiator (2000),tt0172495
Double Jeopardy (1999),tt0150377
Yojimbo (1961),
Ran (1985),tt0089881
Cliffhanger (1993),tt0106582
Snake Eyes (1998),tt0120832
Backdraft (1991),tt0101393
"Fisher King, The (1991)",tt0101889
Mister Roberts (1955),tt0048380
"Day the Earth Stood Still, The (1951)",tt0043456
"Hunt for Red October, The (1990)",tt0099810
Outbreak (1995),tt0114069
Simon Birch (1998),tt0124879
Stand and Deliver (1987),
Breakfast at Tiffany's (1961),tt0054698
Maverick (1994),tt0110478
Stand by Me (1986),tt0092005
"Green Mile, The (1999)",tt0120689
"Lost World: Jurassic Park, The (1997)",tt0119567
Gandhi (1982),tt0083987
Strictly Ballroom (1992),tt0105488
"League of Their Own, A (1992)",tt0104694
Patriot Games (1992),tt0105112
"Bodyguard, The (1992)",tt0103855
Braveheart (1995),tt0112573
Ronin (1998),tt0122690
Payback (1999),tt0120784
"Spanish Prisoner, The (1997)",tt0120176
Close Encounters of the Third Kind (1977),tt0075860
Terminator 2: Judgment Day (1991),tt0103064
Alien: Resurrection (1997),tt0118583
"Guns of Navarone, The (1961)",tt0054953
"Soldier's Story, A (1984)",tt0088146
On the Waterfront (1954),tt0047296
Picnic (1955),tt0048491
"Misérables, Les (1998)",
American Beauty (1999),tt0169547
Amadeus (1984),tt0086879
"Remains of the Day, The (1993)",tt0107943
Demolition Man (1993),tt0106697
Children of a Lesser God (1986),tt0090830
Like Water for Chocolate (Como agua para chocolate) (1992),
"Last of the Mohicans, The (1992)",tt0104691
Bonnie and Clyde (1967),tt0061418
Starman (1984),tt0088172
Jurassic Park (1993),tt0107290
Prefontaine (1997),tt0119937
Doctor Zhivago (1965),tt0059113
Groundhog Day (1993),tt0107048
Die Hard 2 (1990),tt0099423
"Man in the Iron Mask, The (1998)",tt0120744
Star Trek VI: The Undiscovered Country (1991),tt0102975
Enemy of the State (1998),tt0120660
Key Largo (1948),tt0040506
"Thin Red Line, The (1998)",tt0120863
Dances with Wolves (1990),tt0099348
Star Wars: Episode V - The Empire Strikes Back (1980),
Con Air (1997),tt0118880
Twister (1996),tt0117998
Raiders of the Lost Ark (1981),tt0082971
"Silence of the Lambs, The (1991)",tt0102926
Waking Ned Devine (1998),
Broken Arrow (1996),tt0115759
Ghostbusters II (1989),tt0097428
"Matrix, The (1999)",tt0133093
Armageddon (1998),tt0120591
Shakespeare in Love (1998),tt0138097
Serpico (1973),tt0070666
"French Connection, The (1971)",tt0067116
Conspiracy Theory (1997),tt0118883
What About Bob? (1991),tt0103241
Rocky (1976),tt0075148
Kramer Vs. Kramer (1979),
Ed Wood (1994),tt0109707
On Golden Pond (1981),tt0082846
Chariots of Fire (1981),tt0082158
Desperado (1995),tt0112851
Get Shorty (1995),tt0113161
Die Hard: With a Vengeance (1995),tt0112864
Platoon (1986),tt0091763
True Lies (1994),tt0111503
October Sky (1999),tt0132477
Clear and Present Danger (1994),tt0109444
"Fugitive, The (1993)",tt0106977
Sophie's Choice (1982),tt0084707
Gone with the Wind (1939),tt0031381
"Getaway, The (1994)",tt0109890
"Fifth Element, The (1997)",tt0119116
Thelma & Louise (1991),tt0103074
Under Siege (1992),tt0105690
Guess Who's Coming to Dinner (1967),tt0061735
"Grapes of Wrath, The (1940)",tt0032551
Independence Day (ID4) (1996),
Mr. Jones (1993),tt0107611
Spartacus (1960),tt0054331
Lethal Weapon 3 (1992),tt0104714
As Good As It Gets (1997),
Indochine (1992),tt0104507
"Mask of Zorro, The (1998)",tt0120746
"Shawshank Redemption, The (1994)",tt0111161
"Breakfast Club, The (1985)",tt0088847
"Man with the Golden Arm, The (1955)",tt0048347
Manhattan (1979),tt0079522
Forrest Gump (1994),tt0109830
Miller's Crossing (1990),tt0100150
Nurse Betty (2000),tt0171580
"Graduate, The (1967)",tt0061722
Animal House (1978),
"Full Monty, The (1997)",tt0119164
Raising Arizona (1987),tt0093822
28 Days (2000),tt0191754
Happy Gilmore (1996),tt0116483
"Golden Child, The (1986)",tt0091129
Beverly Hills Ninja (1997),tt0118708
